2017 Cleveland Browns,Jared Cook,TE,Dropped
2017 Cleveland Browns,C.J. Uzomah,TE,Won at $0
Team Suzy,Clayton Geathers,DB,Dropped
Team Suzy,Benardrick McKinney,LB,Won at $0
2017 Cleveland Browns,Mason Crosby,K,Dropped
2017 Cleveland Browns,Frank Gore,RB,Won at $0
2 Gurleys 1 Kupp,Cole Beasley,WR,Dropped
2 Gurleys 1 Kupp,Jermaine Kearse,WR,Won at $2
Team Suzy,Joe Schobert,LB,Dropped
Team Suzy,Doug Martin,RB,Won at $3
2 Gurleys 1 Kupp,Chester Rogers,WR,Dropped
2 Gurleys 1 Kupp,Tre'Quan Smith,WR,Won at $3
2017 Cleveland Browns,Everson Griffen,DL,Dropped
2017 Cleveland Browns,Duke Johnson,RB,Won at $5
Placeholder,Micah Hyde,DB,Dropped
Placeholder,Dion Lewis,RB,Won at $0
Placeholder,Randall Cobb,WR,Dropped
Placeholder,Nick Chubb,RB,Won at $0
Placeholder,Robert Quinn,DL,Dropped
Placeholder,Mario Addison,DL,Won at $0
Placeholder,Caleb Sturgis,K,Dropped
Placeholder,Giorgio Tavecchio,K,Won at $0
Odell Beckham Jesus,Zach Brown,LB,Dropped
Odell Beckham Jesus,Thomas Davis,LB,Won at $0
FUCK YOU LEVEON JUST PLAY,Ka'imi Fairbairn,K,Dropped
FUCK YOU LEVEON JUST PLAY,Wil Lutz,K,Won at $0
Team Suzy,Ronald Jones,RB,Dropped
Team Suzy,Robert Nkemdiche,DL,Won at $0
Odell Beckham Jesus,Cairo Santos,K,Dropped
Odell Beckham Jesus,Jake Elliott,K,Won at $0
FUCK YOU LEVEON JUST PLAY,Vontaze Burfict,LB,Won at $1
2 Gurleys 1 Kupp,Mike Davis,RB,Dropped
2 Gurleys 1 Kupp,Cole Beasley,WR,Won at $1
FUCK YOU LEVEON JUST PLAY,Ezekiel Ansah,DL,Won at $2
FUCK YOU LEVEON JUST PLAY,Nyheim Hines,RB,Dropped
FUCK YOU LEVEON JUST PLAY,Marcus Maye,DB,Dropped
Team Suzy,Jessie Bates,DB,Dropped
Team Suzy,Damarious Randall,DB,Won at $0
Team Suzy,Dion Lewis,RB,Dropped
Team Suzy,Peyton Barber,RB,Won at $0
SKEET BALL,Chris Boswell,K,Dropped
SKEET BALL,Adam Vinatieri,K,Won at $2
Veteran Minimum,Jordy Nelson,WR,Dropped
Veteran Minimum,Albert Wilson,WR,Won at $3
2 Gurleys 1 Kupp,Cameron Heyward,DL,Dropped
2 Gurleys 1 Kupp,Chester Rogers,WR,Won at $3
Peacocks,Jordan Matthews,WR,Dropped
Peacocks,Willie Snead,WR,Won at $3
Veteran Minimum,Mike Williams,WR,Dropped
Veteran Minimum,Tyrell Williams,WR,Won at $3
2 Gurleys 1 Kupp,Stephon Gilmore,DB,Dropped
2 Gurleys 1 Kupp,Jerry Hughes,DL,Won at $4
Peacocks,Nick Vigil,LB,Dropped
Peacocks,Zach Cunningham,LB,Won at $6
Peacocks,Mario Addison,DL,Dropped
Peacocks,O.J. Howard,TE,Won at $6
SKEET BALL,Kareem Jackson,DB,Won at $6
2 Gurleys 1 Kupp,Brock Osweiler,QB,Won at $7
